area,contourLength,ConvexHullLength,ConvexityDefects,compactness,circularity,aspectRatio,extent,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,target
34667.0,883.2447285652161,759.4738519191742,5105.666666666667,0.025477968343531776,0.5584239242136041,1.9171974522292994,0.7335844425164526,0.6991941694116064,1.8689200045826444,3.5835988732612076,4.266106428969378,8.193302482632188,5.204998937553976,9.168785517057723,paper
41722.5,954.0315259695053,820.354150891304,6147.0,0.022866116027790886,0.576042776436538,1.6666666666666667,0.7475141091104541,0.7213660964469572,2.0746854701301896,3.1775590437934307,4.164177420288018,7.839171282743067,5.2068918295829425,8.69596420790284,paper
30218.0,812.2741661071777,711.5546102523804,4392.333333333333,0.026880474091838566,0.5755330909149508,1.9794520547945205,0.7161681755699862,0.6957179257158621,1.8450851640915107,3.8473621962609097,4.495679400941517,8.667082843876527,5.420350246072368,10.362217703604703,paper
30273.5,826.9432120323181,712.5173089504242,4906.666666666667,0.02731574519075489,0.5563154541004967,1.8064516129032258,0.6975460829493088,0.6920353991206724,1.8268003754130238,3.6775099873416264,4.286559478969337,8.271775951021388,5.205065823471474,9.181137131218176,paper
30590.0,811.6467493772507,705.0649880170822,5115.333333333333,0.026533074513803552,0.5835193117098924,1.8389261744966443,0.7492774212511635,0.7077218186328864,1.939292623491619,3.367863032119341,4.153670474591539,7.915366638276556,5.1235066891328875,9.090466041374073,paper
32829.0,841.5878739356995,728.4027454853058,5205.0,0.025635501353550198,0.5824633173622208,1.7142857142857142,0.7387928706454227,0.7126816879407881,1.9780740424910692,3.3240464167886405,4.17389549935204,7.922860857663516,5.164171343214426,9.844267769121036,paper
35486.5,1406.8010771274567,782.4428904056549,22790.666666666668,0.039643274967310294,0.2253241010546691,1.7076023391812865,0.7106965473043338,0.7032284059327814,2.0557579417179803,4.152535345291317,4.035774080166857,8.145012819314013,5.069366630141476,8.715478819230258,paper
36161.0,1392.0142803192139,787.7660546302795,23751.0,0.038494905570067586,0.23451083594956723,1.6666666666666667,0.6925404577228765,0.7028633365354051,2.0662238109069353,3.7410660284407564,3.9786520752341166,7.88521995235826,5.0125625697399885,8.194917871049617,paper
36172.0,1388.0142810344696,784.6844123601913,23217.333333333332,0.03837261641696532,0.23593616565484174,1.576086956521739,0.6778860569715143,0.7055612053977979,2.1464230356763374,3.4653269803360778,3.9163476199108698,7.727868083437201,5.000372300519065,7.792234697395735,paper
35482.0,1413.6955194473267,773.3310210704803,23026.333333333332,0.03984261088572591,0.22310340188995095,1.6964285714285714,0.7410609857978279,0.7102874580999401,2.097698938436438,3.8862681738193627,4.016163914941202,7.974369462328029,5.0660377673256365,-8.715546043562291,paper
32927.0,1200.7594472169876,781.3449203968048,15585.0,0.03646732004789345,0.28697892421682303,2.02,0.7244664466446644,0.6528371542642237,1.6880436234194196,3.1396079507691246,3.76479788458122,7.2618169871588645,4.774967558207179,7.581632184787844,paper
35074.5,1348.8153574466705,762.9664169549942,20635.333333333332,0.038455725881956136,0.24226816422304764,1.418848167539267,0.6776240799057205,0.7162235692047102,2.1693114545690393,3.6807976831945735,4.2030956983821905,8.204580558531255,5.287886948597898,8.454767035251878,paper
36850.0,1431.3279883861542,789.2988393306732,23870.666666666668,0.0388420078259472,0.226031532195455,1.7904191616766467,0.7379889051328781,0.7051504428257778,2.0332937175420143,3.9298613469659394,4.0708880291015985,8.079084156910469,5.095666296540394,8.795208720115639,paper
36270.5,1569.428493976593,783.3872780799866,25450.666666666668,0.043270109151420384,0.18504627198420698,1.521978021978022,0.7194529297417384,0.7174110493674002,2.314412761054141,3.511048209380317,3.94904391546195,7.679225736738827,5.110720707312515,-9.249512675113126,paper
37336.5,1516.3157963752747,790.0459315776825,24783.333333333332,0.04061215690745717,0.20406294465142005,1.558011049723757,0.7314858351945457,0.7204073729253196,2.2859423461563866,3.531766688040802,4.012312633463653,7.788687493637999,5.169656421762088,8.634881984724634,paper
37555.0,1509.2102380990982,794.7809925079346,26508.333333333332,0.040186665905980516,0.20719446285448279,1.4300518134715026,0.7050198993767365,0.7194517502484542,2.4060437656987697,3.427717719098568,4.019475346442484,7.784699337755853,5.23030468696889,8.122057784073878,paper
46701.0,1703.4112495183945,893.184356212616,29869.666666666668,0.03647483457567064,0.2022539546401001,1.3574660633484164,0.7043891402714932,0.7203628160061359,2.5668972279442075,3.085223094322501,4.021803822031859,7.632092754201131,5.33223552224132,7.894287317115677,paper
36375.5,1375.5706288814545,789.6817243099213,21429.333333333332,0.037815854871588145,0.24157558907711799,1.8475609756097562,0.7320192385092168,0.7001356671258081,1.9630012675767698,4.080597599242013,4.170149316964738,8.300749479353621,5.167305251740635,9.103309516724792,paper
38318.5,1438.8254623413086,798.3587174415588,23481.666666666668,0.03754910715036624,0.23259594254885632,1.6464088397790055,0.7104175164077274,0.7109432039879057,2.107952826842582,3.622198600111114,3.992704633511829,7.823165853438585,5.054550222390017,8.298637337103406,paper
38852.5,1421.0853480100632,811.4191417694092,23444.0,0.036576419741588394,0.24176226161717548,1.7118644067796611,0.7244410881766142,0.7032674672125554,2.0194571666252763,3.811657174622928,4.03546012398013,7.965942404482649,5.06341831124755,8.709223660758528,paper
38821.5,1392.055911064148,816.3750686645508,18782.333333333332,0.03585785997615105,0.25174961684722025,1.694915254237288,0.7311016949152542,0.7037193001686293,2.042938541419103,3.4280874317033296,3.9883594551260053,7.711494080042188,5.009940473607899,-8.285219104712262,paper
